date,open,high,low,close,volume,company
2021-08-14,74.47,75.0,69.99,72.4,2873070.2019,FIL
2021-08-15,72.39,74.47,70.08,73.06,2465722.9714,FIL
2021-08-16,73.06,75.89,72.42,73.26,3224869.8842,FIL
2021-08-17,73.25,74.69,69.04,69.45,2825486.8475,FIL
2021-08-18,69.49,70.15,66.0,67.47,2552150.0823,FIL
2021-08-19,67.47,70.54,66.26,70.48,1630499.5676,FIL
2021-08-20,70.47,73.79,69.69,73.06,1749122.9825,FIL
2021-08-21,73.06,79.29,71.4,78.45,3060779.1024,FIL
2021-08-22,78.45,79.15,75.05,77.17,2896082.272,FIL
2021-08-23,77.16,82.48,76.56,79.75,3298154.7192,FIL
2021-08-24,79.74,80.55,72.17,74.34,3044715.3539,FIL
2021-08-25,74.33,77.93,72.41,76.53,2264953.1141,FIL
2021-08-26,76.53,78.78,71.4,72.29,2655189.4841,FIL
2021-08-27,72.29,75.77,70.33,75.19,2139466.4433,FIL
2021-08-28,75.2,75.46,72.86,73.96,1444189.07,FIL
2021-08-29,73.97,75.42,72.4,73.63,1753070.7,FIL
2021-08-30,73.62,74.24,70.94,71.2,1366890.45,FIL
2021-08-31,71.2,77.8,70.43,75.97,3168608.5765,FIL
2021-09-01,75.96,78.79,75.27,78.69,2662164.3531,FIL
2021-09-02,78.68,79.58,77.01,77.39,1787834.6204,FIL
2021-09-03,77.39,78.98,75.72,77.65,1670784.36,FIL
2021-09-04,77.64,96.65,77.47,95.04,5591528.1186,FIL
2021-09-05,95.04,120.17,91.89,113.65,8863729.3951,FIL
2021-09-06,113.64,118.5,103.88,106.22,7762399.75,FIL
2021-09-07,106.22,110.97,71.2,84.46,13607499.0,FIL
2021-09-08,84.47,94.05,76.05,88.28,9668703.68,FIL
2021-09-09,88.39,94.17,85.1,88.68,5353465.34,FIL
2021-09-10,88.7,91.86,78.73,82.43,4887080.14,FIL
2021-09-11,82.42,85.04,80.03,81.66,3341935.14,FIL
2021-09-12,81.67,87.05,80.66,83.63,3811022.49,FIL
2021-09-13,83.63,84.6,72.72,77.96,4367263.96,FIL
2021-09-14,77.96,81.87,77.44,80.8,2334986.03,FIL
2021-09-15,80.79,87.5,80.08,86.23,3817168.86,FIL
2021-09-16,86.23,90.64,82.2,84.72,4531810.31,FIL
2021-09-17,84.72,86.63,80.56,85.79,3144824.97,FIL
2021-09-18,85.8,87.37,82.6,84.3,2437791.85,FIL
2021-09-19,84.31,85.15,81.56,83.53,1629678.69,FIL
2021-09-20,83.54,83.69,71.31,74.43,6160805.39,FIL
2021-09-21,74.42,76.58,68.14,69.54,5187450.8893,FIL
2021-09-22,69.54,75.02,68.65,74.51,3294084.32,FIL
2021-09-23,74.5,75.58,71.83,74.66,3073366.14,FIL
2021-09-24,74.66,74.97,60.13,63.31,10129684.9687,FIL
2021-09-25,63.32,63.89,58.78,60.4,6263245.0673,FIL
2021-09-26,60.39,60.64,50.0,55.77,13709913.6312,FIL
2021-09-27,55.78,62.94,54.71,58.98,9074696.8,FIL
2021-09-28,58.98,59.57,55.07,55.3,5629628.67,FIL
2021-09-29,55.29,58.51,55.22,57.0,3708359.18,FIL
2021-09-30,57.0,61.21,56.83,60.04,3364207.82,FIL
2021-10-01,60.05,73.39,59.61,71.47,5594246.2594,FIL
2021-10-02,71.47,73.98,68.33,69.66,5690046.85,FIL
2021-10-03,69.66,70.85,67.63,69.11,4228554.53,FIL
2021-10-04,69.1,70.64,65.66,69.76,4726949.41,FIL
2021-10-05,69.77,72.98,68.48,70.89,4170035.71,FIL
2021-10-06,70.9,74.86,66.62,71.75,5421184.17,FIL
2021-10-07,71.76,74.31,68.94,71.46,4617739.46,FIL
2021-10-08,71.47,81.22,70.58,79.54,6879351.03,FIL
2021-10-09,79.54,80.64,75.37,77.01,3958211.78,FIL
2021-10-10,77.01,77.08,69.08,69.81,3681308.56,FIL
2021-10-11,69.82,74.82,69.0,73.47,4551778.21,FIL
2021-10-12,73.48,73.5,66.13,69.8,4776709.7,FIL
2021-10-13,69.81,70.75,60.7,68.31,6934760.74,FIL
2021-10-14,68.32,71.9,67.2,70.38,4019846.41,FIL
2021-10-15,70.39,70.4,65.07,67.33,4707506.11,FIL
2021-10-16,67.32,69.22,66.1,66.52,2137734.09,FIL
2021-10-17,66.52,67.12,61.0,63.86,3186103.93,FIL
2021-10-18,63.86,65.07,61.38,63.46,2912700.13,FIL
2021-10-19,63.45,64.1,62.0,62.94,1965416.75,FIL
2021-10-20,62.94,68.2,62.49,67.06,3416330.81,FIL
2021-10-21,67.06,68.16,63.34,63.63,3631263.83,FIL
2021-10-22,63.63,66.95,63.61,65.95,3112564.07,FIL
2021-10-23,65.95,66.4,63.95,64.81,1699053.21,FIL
2021-10-24,64.8,65.1,61.23,62.59,3966003.08,FIL
2021-10-25,62.6,65.38,62.3,63.94,2338102.51,FIL
2021-10-26,63.93,65.22,62.06,62.83,2920861.71,FIL
2021-10-27,62.83,63.22,52.0,55.42,7414423.98,FIL
2021-10-28,55.42,59.22,54.62,58.14,4546373.77,FIL
2021-10-29,58.14,62.91,57.85,60.2,2719059.42,FIL
2021-10-30,60.15,61.48,57.4,61.48,1623051.07,FIL
2021-10-31,61.48,66.76,59.23,64.4,5987084.24,FIL
2021-11-01,64.41,64.5,60.6,63.88,2488354.0,FIL
2021-11-02,63.89,66.46,63.44,64.63,2853130.66,FIL
2021-11-03,64.63,65.9,61.5,64.01,3618156.51,FIL
2021-11-04,64.01,64.49,61.1,62.45,2315593.53,FIL
2021-11-05,62.45,64.4,61.3,63.48,2921355.03,FIL
2021-11-06,63.49,63.68,58.0,61.89,4288703.26,FIL
2021-11-07,61.9,62.61,61.11,62.56,2390899.1,FIL
2021-11-08,62.56,64.9,62.27,64.26,3303467.72,FIL
2021-11-09,64.25,69.18,63.48,66.7,6527662.11,FIL
2021-11-10,66.71,69.64,58.53,63.46,7646788.9,FIL
2021-11-11,63.46,64.5,61.73,62.76,3213415.05,FIL
2021-11-12,62.76,65.5,61.11,62.9,4427610.06,FIL
2021-11-13,62.89,63.67,62.23,62.92,2014458.68,FIL
2021-11-14,62.92,63.49,61.02,62.55,2055033.9,FIL
